"","female","married","hhsize","books_age10","maths_age10","language_age10","EduYears","eurod","country_mod","iv009_mod","inc_bin","co007_","co007_mod","country250","country276","country380","country528","country724"
"108429",0,1,2,1,3,3,-0.36,10,276,1,"second","2","1",0,1,0,0,0
"108430",1,1,2,1,3,3,-0.12,9,276,1,"second","2","1",0,1,0,0,0
"108431",0,1,2,1,4,4,0.52,5,276,4,"fourth","3","2",0,1,0,0,0
"108435",1,1,2,3,3,3,-0.2,1,276,4,"fourth","3","2",0,1,0,0,0
"108451",0,1,2,2,3,3,-0.12,1,276,5,"third","4","2",0,1,0,0,0
"108458",1,0,1,2,3,3,-0.04,1,276,3,"first","3","2",0,1,0,0,0
"108462",1,1,2,1,3,3,-0.2,2,276,5,"first","3","2",0,1,0,0,0
"108481",1,1,2,2,2,2,-0.12,2,276,1,"fourth","4","2",0,1,0,0,0
"108489",0,1,2,2,2,2,-0.12,3,276,1,"fourth","4","2",0,1,0,0,0
"108509",0,1,2,1,3,3,0.04,5,276,5,"third","4","2",0,1,0,0,0
"108513",1,1,2,1,4,2,-0.36,5,276,5,"third","4","2",0,1,0,0,0
"108535",0,0,1,3,4,4,-0.2,4,276,5,"second","4","2",0,1,0,0,0
"108539",1,0,2,3,2,2,0.04,0,276,4,"fourth","4","2",0,1,0,0,0
"108541",0,0,2,1,5,5,-0.12,0,276,4,"fourth","4","2",0,1,0,0,0
"108555",0,1,2,1,4,3,-0.2,1,276,5,"third","3","2",0,1,0,0,0
"108556",1,1,2,1,4,2,-0.28,3,276,5,"third","3","2",0,1,0,0,0
"108570",1,1,2,2,4,2,-0.2,3,276,1,"fourth","4","2",0,1,0,0,0
"108572",0,1,2,2,3,3,-0.12,0,276,1,"fourth","4","2",0,1,0,0,0
"108588",0,0,1,3,3,4,-0.76,0,276,1,"first","1","1",0,1,0,0,0
"108627",0,1,2,3,3,2,0.2,0,276,5,"fourth","4","2",0,1,0,0,0
"108631",1,0,1,2,3,3,0.04,4,276,1,"first","2","1",0,1,0,0,0
"108676",0,1,2,2,3,3,0.6,2,276,2,"fourth","4","2",0,1,0,0,0
"108680",0,1,2,4,3,3,-0.04,4,276,5,"fourth","1","1",0,1,0,0,0
